"audit_sha","module","source_set","index","language","kind","name","line","detection"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/androidTest/kotlin/fr/mina/gateway/messaging/storage/RoomMessagingSecretStoreTest.kt","androidTest","1","kotlin","fun_declaration","closeDatabase","28","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/androidTest/kotlin/fr/mina/gateway/messaging/storage/RoomMessagingSecretStoreTest.kt","androidTest","2","kotlin","fun_declaration","storesTokenAndOwnerIdentityOnlyAsCiphertext","31","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/androidTest/kotlin/fr/mina/gateway/messaging/storage/RoomMessagingSecretStoreTest.kt","androidTest","3","kotlin","fun_declaration","androidKeystoreCipherRoundTripsWithoutEmbeddingPlaintext","54","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/androidTest/kotlin/fr/mina/gateway/messaging/storage/RoomMessagingSecretStoreTest.kt","androidTest","4","kotlin","fun_declaration","persistsInboundSmsIdempotentlyWithEncryptedSenderAndBody","64","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/androidTest/kotlin/fr/mina/gateway/messaging/storage/RoomMessagingSecretStoreTest.kt","androidTest","5","kotlin","fun_declaration","provisionsAndReloadsOwnerAndTelegramTokenThroughEncryptedRoom","78","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/androidTest/kotlin/fr/mina/gateway/messaging/storage/RoomMessagingSecretStoreTest.kt","androidTest","6","kotlin","fun_declaration","startsGatewayServiceOnlyFromTheApplicationUid","94","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/androidTest/kotlin/fr/mina/gateway/messaging/storage/RoomMessagingSecretStoreTest.kt","androidTest","7","kotlin","fun_declaration","blindIndex","114","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/androidTest/kotlin/fr/mina/gateway/messaging/storage/RoomMessagingSecretStoreTest.kt","androidTest","8","kotlin","fun_declaration","encrypt","116","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/androidTest/kotlin/fr/mina/gateway/messaging/storage/RoomMessagingSecretStoreTest.kt","androidTest","9","kotlin","fun_declaration","decrypt","119","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/EncryptedMessageEntity.java","main","1","java","constructor","EncryptedMessageEntity","38","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/EncryptedSecretEntity.java","main","1","java","constructor","EncryptedSecretEntity","26","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingDatabase.java","main","1","java","method_declaration","secretDao","17","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingDatabase.java","main","2","java","method_declaration","messageDao","18","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingDatabase.java","main","3","java","method_declaration","open","20","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingMessageDao.java","main","1","java","method_declaration","insert","13","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingMessageDao.java","main","2","java","method_declaration","byState","16","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingMessageDao.java","main","3","java","method_declaration","updateState","19","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingMessageDao.java","main","4","java","method_declaration","acknowledge","22","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingMessageDao.java","main","5","java","method_declaration","allForTest","25","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingSecretDao.java","main","1","java","method_declaration","upsert","13","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingSecretDao.java","main","2","java","method_declaration","find","16","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingSecretDao.java","main","3","java","method_declaration","count","19","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingSecretDao.java","main","4","java","method_declaration","delete","22","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingSecretDao.java","main","5","java","method_declaration","allForTest","25","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/AideActivity.kt","main","1","kotlin","fun_declaration","onCreate","30","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/AideActivity.kt","main","2","kotlin","fun_declaration","AideScreen","103","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/BiometricLock.kt","main","1","kotlin","fun_declaration","isLocked","22","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/BiometricLock.kt","main","2","kotlin","fun_declaration","canAuthenticateBiometric","30","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/BiometricLock.kt","main","3","kotlin","fun_declaration","promptBiometricUnlock","34","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/BiometricLock.kt","main","4","kotlin","fun_declaration","onAuthenticationSucceeded","39","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/BiometricLock.kt","main","5","kotlin","fun_declaration","onAuthenticationError","40","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/ChatActivity.kt","main","1","kotlin","fun_declaration","onCreate","35","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/ChatActivity.kt","main","2","kotlin","fun_declaration","requestUnlock","57","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/ChatActivity.kt","main","3","kotlin","fun_declaration","onStart","61","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/ChatActivity.kt","main","4","kotlin","fun_declaration","onStop","66","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/ChatActivity.kt","main","5","kotlin","fun_declaration","BiometricLockScreen","73","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","1","kotlin","fun_declaration","onCreate","78","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","2","kotlin","fun_declaration","onNewIntent","110","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","3","kotlin","fun_declaration","loadSavedProvisioningState","118","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","4","kotlin","fun_declaration","provision","145","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","5","kotlin","fun_declaration","removeGateway","185","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","6","kotlin","fun_declaration","setBiometricLock","206","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","7","kotlin","fun_declaration","requestMessagingPermissions","211","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","8","kotlin","fun_declaration","onRequestPermissionsResult","223","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","9","kotlin","fun_declaration","handleCameraIntent","233","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","10","kotlin","fun_declaration","startCameraStream","250","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","11","kotlin","fun_declaration","startGatewayService","257","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","12","kotlin","fun_declaration","restartGatewayService","261","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","13","kotlin","fun_declaration","smsPermissionStatus","266","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","14","kotlin","fun_declaration","writeIdentityProof","271","sanitized_regex"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","15","kotlin","fun_declaration","ProvisioningHome","300","sanitized_regex"
