"audit_sha","path","source_set","language","bytes","wc_line_equivalent","sha256","declaration_count"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/androidTest/kotlin/fr/mina/gateway/messaging/storage/RoomMessagingSecretStoreTest.kt","androidTest","kotlin","5104","122","0f01ca5cc6a82f9eaf39944b719161fe5c33472698cafaf35623df8696e679e5","9"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/EncryptedMessageEntity.java","main","java","1546","57","d561eaff23960c36a629064b59455135a825910c1345e4faabb5579a370d032e","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/EncryptedSecretEntity.java","main","java","1019","37","49ec834d498070e37f2d5cbc04efb115c4229f7afef6bc0c54d5d0996230e1e0","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingDatabase.java","main","java","1128","36","2bed5c717928517ffde2d72f54687353307a0c5555f18aedee594d7119d48cae","3"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingMessageDao.java","main","java","945","26","8b912a16a98ffa64f1a47fe1b7731a1f8719a8effa527165f9b3dc7de39665ce","3"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/java/fr/mina/gateway/messaging/storage/MessagingSecretDao.java","main","java","853","26","5942d0b5d095f4195bdd67f8afea2a91b20ebd2656789fe89723f692f1a47736","4"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/AideActivity.kt","main","kotlin","6983","133","7c71c212e544cfd5ddfd44b76ea8fbdac2eccca5dbb26acda793b693c429c968","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/BiometricLock.kt","main","kotlin","2507","51","c05c899c460d7461ad4c781310e43f782e99a49060a9ca3aae659463b677feaf","5"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/ChatActivity.kt","main","kotlin","3552","92","1e4c70ad56a2a905bb6dff8b2395cded6a8ff4ac799e2f6f666054378c461951","5"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/MainActivity.kt","main","kotlin","22420","486","107053099223f3ea7c60205357cbb3767923a886f64285bb5c3910968de12700","20"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/ProvisioningStatus.kt","main","kotlin","883","23","cea43dc766b98218c4cee72eef7cb843a144615281e3a97e48032342241b655c","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/chat/ChatNotifier.kt","main","kotlin","2301","58","777dc62ae5c1b4eebf458e129b124104a8edefc0032a47d6c573f0239d507aae","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/chat/ChatSyncWorker.kt","main","kotlin","1627","39","fdba11765f3344da110d888a5248dfef2a6050428a830c783e0af1311fb81c58","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/chat/MinaChatMessagingService.kt","main","kotlin","1417","31","a8165230b3f22c2fe6ad45ee0693d1abbad4eb154ebfed60f11d91984780934a","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/AndroidSmsCommandDispatcher.kt","main","kotlin","1499","34","95317e7ff28cf223c76c43183d4392cc3e3ec6e4233a57e8781a132f3c3f3083","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/GatewayBootReceiver.kt","main","kotlin","456","12","2c87657c4404cc75d456ac4dc1671ea729d7f672f42ff725222de6740ad8ca86","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/GatewayKeepaliveReceiver.kt","main","kotlin","508","16","802e93dac7b7384607da53e68882ee1220122ce1613c7b1af0bfddb3cef1bd05","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/MessagePullFileProcessor.kt","main","kotlin","7565","177","1a4ce775cf6402b46d9b309229ae3c757310a544a0f4cdf28180cd4efef977fd","14"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/MessagingExecutors.kt","main","kotlin","243","9","94de6d924e571617950f3c1f5779d41e74babacc72a83c403a7f8d4f3f18eca9","0"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/MinaGatewayService.kt","main","kotlin","7912","189","6082ba3746b331925117448c664f1ae80b629c6e3e34804be78ae4618b3be7d6","11"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/OwnerIdentity.kt","main","kotlin","491","14","b0c92f3964c7170713035a41ff6ca545fdca7ea072a2092575eb7e61c41733b7","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/PhoneNumberNormalizer.kt","main","kotlin","627","15","75e53ba4fa1db2a7baf4251cfd863672717c5884ba63b8208ba9312b9e48d396","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/SmsBroadcastReceiver.kt","main","kotlin","1488","31","7618ff58f944add5932b04df06791b9ca0816cbd997432575d93aef5ff5fe178","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/SmsCommand.kt","main","kotlin","1875","40","e3ecb960b42febea2345b2eeaa65b996772936fc799fab2268965a0e3616a273","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/SmsCommandFileProcessor.kt","main","kotlin","2399","67","5c56c5c2bd3ad08c6890055479c812200e5d7667db22dce3c56c073580227c62","4"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/SmsGateway.kt","main","kotlin","2851","65","a83b1bfa4e9f46887a73694da4ab34376722d316f84c35cea35a02142763ac9a","7"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/SmsMessageAssembler.kt","main","kotlin","768","18","424cbd9a26cbbd9dc5791dc9416ba2c479d585696ae33211950e21b24d8d0aeb","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/TelegramApiClient.kt","main","kotlin","3890","91","e188f7fc4d0e51c4f2b8e340a64aa53f8ebff44e42f1ee90c60b70e020bc3144","6"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/TelegramGateway.kt","main","kotlin","1735","43","cdcf8063e0db667eb1e837fdb8c67c7cec039e3d5dacd96f93b16e2023537174","7"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/TelegramPoller.kt","main","kotlin","1477","47","008bb34c8071ecfefe0cdc0c1a4c88f495cf4c74bc33fd028099c62b2ac67aed","6"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/TelegramUpdateParser.kt","main","kotlin","1636","36","779ac232c060d1c50ece759cf12e27c3129163db42ac12cb3536ae14998eb099","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/storage/AndroidKeystoreFieldCipher.kt","main","kotlin","4325","109","9407fd29cec0d7dd870a5f7dbf96409c960e887ad3459f9ef0f678a25bc05cd5","7"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/storage/EncryptedMessageRepository.kt","main","kotlin","4061","107","ed802094f7c1c9bf29b762b70225ead1368d3cede2961dd99432ae54bd18c01e","7"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/storage/EncryptedOwnerIdentityStore.kt","main","kotlin","1554","41","442962d49672c0f94e5026e0745ad168042cfce5716e097a7835c4896676217b","3"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/storage/EncryptedTelegramOffsetStore.kt","main","kotlin","763","24","4180df4b04a94c8d3ee6ef7e4ee27380fccc79cf7f9ecd98a54c3dd78a9d67d0","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/storage/MessagingFieldCipher.kt","main","kotlin","243","7","38fe43e916b2e3e7de6fe96c842a65ed6c1ee644671813a4408979fff9ea49e7","3"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/main/kotlin/fr/mina/gateway/messaging/storage/RoomMessagingSecretStore.kt","main","kotlin","1442","45","475c63581afc619979a64ce145b25aa78064f03a1f94c07557b92786e098f551","5"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/test/kotlin/fr/mina/gateway/BiometricGateTest.kt","test","kotlin","876","21","6b9d9bbee7a2ff311455a11dd1c183c185299c40b35ccd4500a897d67eab9645","3"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/test/kotlin/fr/mina/gateway/ProvisioningStatusTest.kt","test","kotlin","1823","48","4bc092e8554065e850a9fff14e2b2048a53f2185615edf372c117af6af12851b","6"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/test/kotlin/fr/mina/gateway/messaging/MessagePullFileProcessorTest.kt","test","kotlin","4597","95","46f2749d87d263b74238d440eaec3591b9c3c75bece8fa68f5e080fa0391a23f","6"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/test/kotlin/fr/mina/gateway/messaging/MessagingPolicyTest.kt","test","kotlin","2043","42","cfe1c7cf1bdc1ec581184976c4591ccea35b7afac8d7391fd7d99bf178053af6","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/test/kotlin/fr/mina/gateway/messaging/SmsCommandParserTest.kt","test","kotlin","2660","56","13bddb175937b4caf400711d5d40bec44a5f47635e311af3cd9d9a7f43b29ac5","3"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/test/kotlin/fr/mina/gateway/messaging/SmsMessageAssemblerTest.kt","test","kotlin","939","31","9dbd00e4c2920e4d31c883705e9b3bffd5dc86291dc378933361be4fbf639276","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/test/kotlin/fr/mina/gateway/messaging/TelegramApiClientTest.kt","test","kotlin","1300","31","2bdf70aa1715c0265a48b88fbc1e8b775d3612632b1ba67a9893eeb1b2450c75","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/test/kotlin/fr/mina/gateway/messaging/TelegramPollerTest.kt","test","kotlin","2622","67","2ecd8cf40d87b0249ef33b4d31bf479f8eadecdb11db26e6f14c135cd0f3b72a","6"
"fd5866d2580127142e46b58848da2471488f70c0","android/app/src/test/kotlin/fr/mina/gateway/messaging/TelegramUpdateParserTest.kt","test","kotlin","1133","28","2f3ea04ed201633f5051faaa62edec6c068b3f35705d23add59ccd9ba86ea801","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/chat/src/main/kotlin/fr/mina/gateway/chat/ChatDatabase.kt","main","kotlin","5980","139","0611ad67dfc1356d419ea8d58794242e93087f94634fc059265886bb235bd06a","15"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/chat/src/main/kotlin/fr/mina/gateway/chat/ChatEngine.kt","main","kotlin","10188","231","5bb7d1a0924fe3703582eda12cb9d67cca6865e073c67f365d785de6c17411b2","13"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/chat/src/main/kotlin/fr/mina/gateway/chat/ChatKeyVault.kt","main","kotlin","4745","109","bd3c1b4b97a9e9ae5ccc02ba3baa1666e488227b7e1088c9c86febaaec00e7be","9"
