"audit_sha","path","domain","extension","bytes","wc_line_equivalent","sha256","ast_function_nodes","static_relative_imports","missing_relative_imports","missing_specifiers","coverage_instrumented","statement_pct","branch_pct","function_pct","line_pct","direct_test_importer_count","direct_test_importers"
"fd5866d2580127142e46b58848da2471488f70c0","src/approvals/approval-contracts.mjs","approvals",".mjs","2476","55","155b0015c3d7bbe5637ed033439a447dd5906100074eededeb3c786e981dbc93","4","2","0","","true","100.00","100.00","100.00","100.00","1","tests/remote-approval-service.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/approvals/approval-verifier.mjs","approvals",".mjs","952","22","747e94b4768a03161c01583dbb957bdb4bb0f48c1f83f72860a81f480ff142f8","2","0","0","","true","100.00","100.00","100.00","100.00","3","tests/approval-verifier.test.mjs;tests/domain-providers-composition.test.mjs;tests/extensions-ui-contract.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/approvals/remote-approval-service.mjs","approvals",".mjs","4024","89","c9909a143e98783b903278d410e146feadb54f60387322e4dd1c3a0a1fb50b08","10","1","0","","true","92.31","82.93","100.00","98.00","3","tests/extensions-ui-contract.test.mjs;tests/integration/v4-security-boundaries.test.mjs;tests/remote-approval-service.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/approvals/state-observer.mjs","approvals",".mjs","2285","50","eaf1a436db821fdf1631a91b6eac53a996bdf48f1054a6d2113f96d062fd836a","5","0","0","","true","82.35","64.29","80.00","93.33","1","tests/domain-providers-composition.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/audit/audit-log.mjs","audit",".mjs","3846","79","def57b400e7f41d9f5532f33d3f66c773e35df00ea976e4ebc94f62084e3d6c7","8","3","0","","true","100.00","100.00","100.00","100.00","3","tests/audit-diagnostics.test.mjs;tests/audit-export.test.mjs;tests/audit-log.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/audit/diagnostics.mjs","audit",".mjs","1566","34","f9cae93a97cc5d50c9238018480450b8491ab13813a8183d3b9c8bfe0795c176","2","0","0","","true","100.00","100.00","100.00","100.00","2","tests/audit-diagnostics.test.mjs;tests/audit-export.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/audit/export.mjs","audit",".mjs","1444","27","18dc81dd24f79452043eacfda56d8658f4b2bdeaec73e9931188f03dadd453eb","3","1","0","","true","100.00","93.75","100.00","100.00","1","tests/audit-export.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/automation-contracts.mjs","automation",".mjs","2398","72","920d7d1ac9c5e13de8791efac44a6956d64640bbf38fd45402e8ba607ee31bd6","6","0","0","","true","100.00","90.91","100.00","100.00","1","tests/automation-contracts.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/automation-definition-store.mjs","automation",".mjs","2361","70","8de90b5b9eed90cfc078bfebc1c4d3914cd8645ed1c3d8204d930b690e73455f","7","1","0","","true","100.00","100.00","100.00","100.00","5","tests/automation-definition-store.test.mjs;tests/automation-ui-contract.test.mjs;tests/connector-version-service.test.mjs;tests/extensions-ui-contract.test.mjs;tests/integration/v4-security-boundaries.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/automation-grant-store.mjs","automation",".mjs","1172","34","9406a66a4f22690f3a91c6036820eb5e0d8d4bb2fcc0b31059544c3ca8d65872","6","1","0","","true","100.00","86.67","100.00","100.00","2","tests/automation-grant-store.test.mjs;tests/automation-ui-contract.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/automation-ledger.mjs","automation",".mjs","5840","144","13d51dd0331e23474b628be39433cf7da78717ec6c7507f1a4bb23c316b422de","17","0","0","","true","93.44","82.05","100.00","98.08","4","tests/automation-ledger.test.mjs;tests/automation-runner.test.mjs;tests/automation-ui-contract.test.mjs;tests/recovery-service.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/automation-policy.mjs","automation",".mjs","4306","104","4c8229d700750d29ce113a7c9e92f68f97c9a7e65f89949885f2ee797908eec2","8","0","0","","true","96.77","86.36","100.00","98.08","2","tests/automation-policy.test.mjs;tests/automation-ui-contract.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/automation-runner.mjs","automation",".mjs","3805","82","81b4aa4667a7bd386aaee4ac8966734f5a90d506af749e079f9a6a9c1678b157","7","0","0","","true","86.67","84.44","85.71","95.56","4","tests/automation-runner.test.mjs;tests/automation-ui-contract.test.mjs;tests/domain-providers-composition.test.mjs;tests/recovery-service.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/budget-estimator.mjs","automation",".mjs","2064","45","e8844fccebb15a784624e9f6036bf8190f6e559ef4017f0a01319521089e8d59","2","0","0","","true","93.75","66.67","100.00","100.00","1","tests/domain-providers-composition.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/disclosure-classifier.mjs","automation",".mjs","2215","57","11a962f6085f1e2e8c9ba07bb6b712d6f9b2711bd18ab55fa42d4436e1cd9ea6","10","0","0","","true","83.87","68.97","100.00","95.24","1","tests/domain-providers-composition.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/invokable-domain-registry.mjs","automation",".mjs","4000","92","9de8509939fcf4e42cbfc58f4fd21499021612952ebc53ed1fa673cd05130f52","10","0","0","","true","82.05","75.56","80.00","85.29","1","tests/domain-providers-composition.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/receipt-verifier.mjs","automation",".mjs","1533","35","956a8d8db03f2ac38b386366ebfe756fdca1cd14059ead5d0137f729abcb00dc","3","0","0","","true","68.75","65.38","100.00","84.62","1","tests/domain-providers-composition.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/simulation-engine.mjs","automation",".mjs","2006","49","066ccf06aebb0935fd892262e7518cb153d6b4db21a1c7d2c25c9d8385e0b314","2","3","0","","true","86.36","77.78","100.00","94.44","3","tests/automation-ui-contract.test.mjs;tests/domain-providers-composition.test.mjs;tests/simulation-engine.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/automation/trigger-normalizer.mjs","automation",".mjs","604","22","a9c350c2eeccd93ffe6754cb34b6ca7362fc5cdedc3df9af665c30016720c84b","2","0","0","","true","100.00","100.00","100.00","100.00","2","tests/simulation-engine.test.mjs;tests/trigger-normalizer.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/backup/backup-service.mjs","backup",".mjs","4505","109","a553d93b76b307dfa3148c651d60320c72b0d6ec7e28b0a57e029a0a4cfe29f4","12","2","0","","true","91.80","80.65","91.67","96.43","2","tests/backup-restore.test.mjs;tests/integration/memory-backup-restore.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/backup/compose-backup-domain.mjs","backup",".mjs","3542","73","03add9df664034eb3011ac1b4e04c9f0fe528805bedad5097fabd42d191ce194","2","3","0","","true","95.00","90.00","100.00","94.74","1","tests/compose-backup-domain.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/backup/custom-token-minter.mjs","backup",".mjs","2151","40","10054e1b1254010c3a95dd306c14096227fbfb42193385192df0963be7d59d0d","4","0","0","","true","95.24","88.89","75.00","94.12","1","tests/custom-token-minter.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/backup/firebase-backup.mjs","backup",".mjs","4438","130","9be0b0ef4fedfb3069793165673f4b48dbdd55c9281b638e50ad67eeeceb1e03","23","0","0","","true","50.72","77.27","43.48","53.57","1","tests/firebase-backup.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/backup/restore-service.mjs","backup",".mjs","3122","74","4dfa8ed330a500a145f9f48aac02535c38c42e5e455e02d3884fdb1cc0ac2110","7","3","0","","true","83.33","70.97","100.00","94.87","2","tests/backup-restore.test.mjs;tests/integration/memory-backup-restore.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/biometrics/face-embedder-factory.mjs","biometrics",".mjs","1866","42","13e64cdeed0dfda95c0de10aa15bdec0d6e81273c9434f3b1e3a5e3a7efbdeda","4","2","0","","false","","","","","0",""
"fd5866d2580127142e46b58848da2471488f70c0","src/biometrics/face-embedder.mjs","biometrics",".mjs","3528","65","a677e979e3944d816f66f2371dc71e6ae48462831d8db374eedc1122879adb54","7","0","0","","true","94.44","91.89","100.00","96.30","1","tests/face-embedder.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/biometrics/face-model-loader.mjs","biometrics",".mjs","3200","78","4d92edf5923908de126b6a5a7ba6543c74e1ec58c05de97d5e87bda76903e384","11","0","0","","true","69.57","80.65","63.64","73.81","1","tests/face-model-loader.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/biometrics/face-profile-store.mjs","biometrics",".mjs","2832","74","d4c7c514970849e25ad6c2308fff4a532d0d733d88918b9f4e70646cbebeebb2","13","0","0","","true","97.56","88.24","100.00","97.14","2","tests/face-profile-store.test.mjs;tests/face-recognizer.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/biometrics/face-recognizer.mjs","biometrics",".mjs","5423","117","05eccea26364e90913348b5cc78fffc5818bba51372e6ad6866467df2d408cec","17","0","0","","true","87.01","80.28","100.00","96.43","1","tests/face-recognizer.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/biometrics/liveness-check.mjs","biometrics",".mjs","2393","58","d3222b01eca8f6097962bdf8c6918ab814ee7a129cbea910c87057a8b8ac6e9d","5","0","0","","true","94.74","93.75","100.00","100.00","1","tests/liveness-check.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/camera/android-camera-client.mjs","camera",".mjs","5665","136","a693bc5253ce4ae5a52cbf7235d26ebf6c9f612800850ebcd56126429fc69a82","9","1","0","","true","80.28","81.40","77.78","90.16","1","tests/android-camera-client.test.mjs"
